Problem,FullTime,GBSize,minGBSize,critPairs,zeroRed,maxDeg,maxCoord,BaBTime
13,0.046,161,161,2351,2203,0.0,9,5
13,0.162,291,291,5985,5707,0.0,7,4
13,0.902,573,573,18316,17756,0.0,9,5
14,0.417,409,409,11309,10914,0.001,7,4
14,0.396,388,388,10374,10000,0.001,7,4
14,2.755,884,884,40733,39863,0.0,7,5
14,1.987,784,784,35483,34713,0.0,7,5
14,0.329,384,384,9530,9160,0.001,7,4
14,0.414,409,409,11309,10914,0.0,7,4
14,0.398,388,388,10374,10000,0.001,7,4
14,2.758,884,884,40733,39863,0.0,7,5
14,1.99,784,784,35483,34713,0.0,7,5
14,0.33,384,384,9530,9160,0.001,7,4
14,0.413,409,409,11309,10914,0.001,7,4
14,0.396,388,388,10374,10000,0.001,7,4
14,2.751,884,884,40733,39863,0.0,7,5
14,1.99,784,784,35483,34713,0.0,7,5
14,0.334,384,384,9530,9160,0.001,7,4
15,2.712,909,909,38044,37150,0.0,9,5
15,1.666,754,754,26646,25907,0.0,9,5
15,0.274,337,337,8146,7824,0.0,9,5
15,0.388,394,394,9977,9598,0.0,9,5
15,25.646,2063,2063,149964,147916,0.0,9,5
15,2.731,909,909,38044,37150,0.0,9,5
15,1.675,754,754,26646,25907,0.0,9,5
15,0.272,337,337,8146,7824,0.001,9,5
15,0.386,394,394,9977,9598,0.001,9,5
15,25.737,2063,2063,149964,147916,0.0,9,5
15,2.709,909,909,38044,37150,0.001,9,5
15,1.679,754,754,26646,25907,0.0,9,5
15,0.272,337,337,8146,7824,0.001,9,5
15,0.389,394,394,9977,9598,0.0,9,5
15,25.687,2063,2063,149964,147916,0.0,9,5
16,0.785,536,536,15355,14835,0.0,8,5
16,16.046,1741,1741,113941,112216,0.001,8,5
16,0.296,329,329,7638,7325,0.0,7,4
16,2.06,796,796,29869,29089,0.0,8,5
16,1.141,629,629,20231,19618,0.0,7,4
16,0.786,536,536,15355,14835,0.0,8,5
16,15.992,1741,1741,113941,112216,0.001,8,5
16,0.297,329,329,7638,7325,0.0,7,4
16,2.059,796,796,29869,29089,0.001,8,5
16,1.141,629,629,20231,19618,0.0,7,4
16,0.785,536,536,15355,14835,0.0,8,5
16,15.982,1741,1741,113941,112216,0.0,8,5
16,0.295,329,329,7638,7325,0.0,7,4
16,2.059,796,796,29869,29089,0.0,8,5
16,1.138,629,629,20231,19618,0.001,7,4
17,6.414,1222,1222,74798,73593,0.0,5,4
17,4.562,1055,1055,45246,44208,0.001,9,5
17,16.304,1725,1725,115454,113746,0.0,8,5
17,3.191,847,847,36624,35794,0.001,9,5
17,1.205,603,603,20121,19535,0.001,8,5
17,6.388,1222,1222,74798,73593,0.001,5,4
17,4.564,1055,1055,45246,44208,0.0,9,5
17,16.31,1725,1725,115454,113746,0.001,8,5
17,3.196,847,847,36624,35794,0.001,9,5
17,1.207,603,603,20121,19535,0.0,8,5
17,6.402,1222,1222,74798,73593,0.001,5,4
17,4.576,1055,1055,45246,44208,0.0,9,5
17,16.271,1725,1725,115454,113746,0.0,8,5
17,3.199,847,847,36624,35794,0.001,9,5
17,1.205,603,603,20121,19535,0.0,8,5
18,10.08,1420,1420,87351,85949,0.001,7,5
18,7.4,1376,1376,61639,60281,0.0,9,5
18,2.575,835,835,32703,31886,0.0,9,5
18,43.112,2521,2521,206675,204172,0.0,9,5
18,283.825,4519,4519,650445,645944,0.0,9,5
18,10.041,1420,1420,87351,85949,0.0,7,5
18,7.4,1376,1376,61639,60281,0.0,9,5
18,2.579,835,835,32703,31886,0.001,9,5
18,43.254,2521,2521,206675,204172,0.0,9,5
18,282.753,4519,4519,650445,645944,0.001,9,5
18,10.081,1420,1420,87351,85949,0.0,7,5
18,7.384,1376,1376,61639,60281,0.001,9,5
18,2.573,835,835,32703,31886,0.0,9,5
18,43.379,2521,2521,206675,204172,0.001,9,5
18,282.25,4519,4519,650445,645944,0.0,9,5
19,4.552,985,985,39450,38484,0.0,9,5
19,10.914,1418,1418,80051,78652,0.0,9,5
19,9.666,1448,1448,73947,72518,0.0,8,5
19,3.957,973,973,41193,40239,0.001,7,4
19,3.471,910,910,40525,39634,0.0,6,5
19,4.534,985,985,39450,38484,0.001,9,5
19,10.945,1418,1418,80051,78652,0.0,9,5
19,9.635,1448,1448,73947,72518,0.0,8,5
19,3.965,973,973,41193,40239,0.0,7,4
19,3.476,910,910,40525,39634,0.001,6,5
19,4.531,985,985,39450,38484,0.001,9,5
19,10.928,1418,1418,80051,78652,0.0,9,5
19,9.646,1448,1448,73947,72518,0.001,8,5
19,3.953,973,973,41193,40239,0.001,7,4
19,3.477,910,910,40525,39634,0.001,6,5
20,6.589,1225,1225,59519,58314,0.001,7,4
20,22.367,1981,1981,125027,123066,0.0,9,5
20,14.342,1593,1593,93065,91492,0.0,9,5
20,6.587,1225,1225,59519,58314,0.0,7,4
20,22.414,1981,1981,125027,123066,0.001,9,5
20,14.414,1593,1593,93065,91492,0.0,9,5
20,6.585,1225,1225,59519,58314,0.0,7,4
20,22.419,1981,1981,125027,123066,0.001,9,5
20,14.327,1593,1593,93065,91492,0.001,9,5
20,21.361,1827,1827,118522,116715,0.0,7,4
20,4.102,960,960,41572,40632,0.0,9,5
21,19.737,1825,1825,106519,104715,0.0,9,5
21,13.455,1608,1608,84944,83357,0.0,9,5
21,4.816,1076,1076,44026,42971,0.001,7,5
21,19.686,1825,1825,106519,104715,0.001,9,5
21,13.455,1608,1608,84944,83357,0.0,9,5
21,4.725,1076,1076,44026,42971,0.0,7,5
21,11.675,1614,1614,81936,80343,0.0,9,5
21,15.29,1551,1551,93546,92016,0.0,9,5
22,128.195,3764,3764,357390,353648,0.0,7,5
22,36.985,2338,2338,164514,162198,0.0,7,5
22,11.898,1396,1396,81962,80588,0.0,9,5
22,127.509,3764,3764,357390,353648,0.0,7,5
22,37.017,2338,2338,164514,162198,0.001,7,5
22,11.892,1396,1396,81962,80588,0.001,9,5
22,149.33,3953,3953,405613,401682,0.0,9,5
22,13.074,1473,1473,83153,81702,0.0,9,5
23,27.533,2013,2013,129724,127734,0.001,9,5
23,55.452,2832,2832,208008,205199,0.0,9,5
23,55.75,2962,2962,208815,205876,0.001,9,5
23,27.364,2013,2013,129724,127734,0.0,9,5
23,56.34,2832,2832,208008,205199,0.0,9,5
23,56.144,2962,2962,208815,205876,0.0,9,5
23,9.174,1312,1312,62897,61608,0.0,7,5
23,82.15,3383,3383,252056,248696,0.0,9,5
24,31.825,2312,2312,139551,137263,0.0,9,5
24,160.502,4158,4158,368644,364510,0.001,9,5
24,636.832,7237,7237,902787,895574,0.0,9,5
24,32.078,2312,2312,139551,137263,0.0,9,5
24,159.569,4158,4158,368644,364510,0.001,9,5
24,640.758,7237,7237,902787,895574,0.0,9,5
24,65.964,2730,2730,214521,211815,0.0,9,5
24,80.705,3235,3235,261764,258553,0.0,9,5
25,27.463,2029,2029,124388,122384,0.001,7,4
25,53.64,2767,2767,189666,186924,0.0,9,5
25,11.825,1418,1418,74378,72985,0.0,7,5
25,27.551,2029,2029,124388,122384,0.0,7,4
25,53.535,2767,2767,189666,186924,0.0,9,5
25,11.813,1418,1418,74378,72985,0.001,7,5
25,419.058,6106,6106,680998,674917,0.001,9,5
25,143.655,4176,4176,393963,389812,0.0,7,4
26,198.9,4792,4792,450641,445875,0.001,9,5
26,200.709,4866,4866,454636,449796,0.001,9,5
26,119.106,3894,3894,335991,332123,0.001,9,5
26,476.073,6751,6751,720209,713484,0.001,9,5
26,911.066,8341,8341,1171944,1163629,0.001,9,5
27,1902.174,10189,10189,1860758,1850596,0.0,9,5
27,443.429,5956,5956,664127,658198,0.001,9,5
27,166.616,3950,3950,353123,349200,0.001,9,5
27,482.259,6993,6993,710802,703836,0.0,9,5
27,641.431,6853,6853,857339,850513,0.001,9,5
28,92.855,3107,3107,264486,261407,0.0,9,5
